# Generated by scripts/gensubsetfont. Do not edit by hand.
# One character per line: U+XXXX  <character>  (name omitted; see the
# character itself). This is the exact, complete set of characters the
# embedded font subset (notosans-subset.ttf) can render (F4 §3.2).
# 176 characters total.
U+0020   
U+0021  !
U+0022  "
U+0023  #
U+0024  $
U+0025  %
U+0026  &
U+0027  '
U+0028  (
U+0029  )
U+002A  *
U+002B  +
U+002C  ,
U+002D  -
U+002E  .
U+002F  /
U+0030  0
U+0031  1
U+0032  2
U+0033  3
U+0034  4
U+0035  5
U+0036  6
U+0037  7
U+0038  8
U+0039  9
U+003A  :
U+003B  ;
U+003C  <
U+003D  =
U+003E  >
U+003F  ?
U+0040  @
U+0041  A
U+0042  B
U+0043  C
U+0044  D
U+0045  E
U+0046  F
U+0047  G
U+0048  H
U+0049  I
U+004A  J
U+004B  K
U+004C  L
U+004D  M
U+004E  N
U+004F  O
U+0050  P
U+0051  Q
U+0052  R
U+0053  S
U+0054  T
U+0055  U
U+0056  V
U+0057  W
U+0058  X
U+0059  Y
U+005A  Z
U+005B  [
U+005C  \
U+005D  ]
U+005E  ^
U+005F  _
U+0060  `
U+0061  a
U+0062  b
U+0063  c
U+0064  d
U+0065  e
U+0066  f
U+0067  g
U+0068  h
U+0069  i
U+006A  j
U+006B  k
U+006C  l
U+006D  m
U+006E  n
U+006F  o
U+0070  p
U+0071  q
U+0072  r
U+0073  s
U+0074  t
U+0075  u
U+0076  v
U+0077  w
U+0078  x
U+0079  y
U+007A  z
U+007B  {
U+007C  |
U+007D  }
U+007E  ~
U+00A0   
U+00AB  «
U+00B0  °
U+00BB  »
U+0106  Ć
U+0107  ć
U+010C  Č
U+010D  č
U+0110  Đ
U+0111  đ
U+0160  Š
U+0161  š
U+017D  Ž
U+017E  ž
U+0402  Ђ
U+0408  Ј
U+0409  Љ
U+040A  Њ
U+040B  Ћ
U+040F  Џ
U+0410  А
U+0411  Б
U+0412  В
U+0413  Г
U+0414  Д
U+0415  Е
U+0416  Ж
U+0417  З
U+0418  И
U+041A  К
U+041B  Л
U+041C  М
U+041D  Н
U+041E  О
U+041F  П
U+0420  Р
U+0421  С
U+0422  Т
U+0423  У
U+0424  Ф
U+0425  Х
U+0426  Ц
U+0427  Ч
U+0428  Ш
U+0430  а
U+0431  б
U+0432  в
U+0433  г
U+0434  д
U+0435  е
U+0436  ж
U+0437  з
U+0438  и
U+043A  к
U+043B  л
U+043C  м
U+043D  н
U+043E  о
U+043F  п
U+0440  р
U+0441  с
U+0442  т
U+0443  у
U+0444  ф
U+0445  х
U+0446  ц
U+0447  ч
U+0448  ш
U+0452  ђ
U+0458  ј
U+0459  љ
U+045A  њ
U+045B  ћ
U+045F  џ
U+2013  –
U+2014  —
U+2018  ‘
U+201A  ‚
U+201C  “
U+201E  „
U+2026  …
