# Generated by scripts/gensubsetfont. Do not edit by hand.
# One character per line: U+XXXX  <character>  (name omitted; see the
# character itself). This is the exact, complete set of characters the
# embedded font subset (preview-serif.ttf) can render.
# 578 characters total.
U+0020   
U+0021  !
U+0022  "
U+0023  #
U+0024  $
U+0025  %
U+0026  &
U+0027  '
U+0028  (
U+0029  )
U+002A  *
U+002B  +
U+002C  ,
U+002D  -
U+002E  .
U+002F  /
U+0030  0
U+0031  1
U+0032  2
U+0033  3
U+0034  4
U+0035  5
U+0036  6
U+0037  7
U+0038  8
U+0039  9
U+003A  :
U+003B  ;
U+003C  <
U+003D  =
U+003E  >
U+003F  ?
U+0040  @
U+0041  A
U+0042  B
U+0043  C
U+0044  D
U+0045  E
U+0046  F
U+0047  G
U+0048  H
U+0049  I
U+004A  J
U+004B  K
U+004C  L
U+004D  M
U+004E  N
U+004F  O
U+0050  P
U+0051  Q
U+0052  R
U+0053  S
U+0054  T
U+0055  U
U+0056  V
U+0057  W
U+0058  X
U+0059  Y
U+005A  Z
U+005B  [
U+005C  \
U+005D  ]
U+005E  ^
U+005F  _
U+0060  `
U+0061  a
U+0062  b
U+0063  c
U+0064  d
U+0065  e
U+0066  f
U+0067  g
U+0068  h
U+0069  i
U+006A  j
U+006B  k
U+006C  l
U+006D  m
U+006E  n
U+006F  o
U+0070  p
U+0071  q
U+0072  r
U+0073  s
U+0074  t
U+0075  u
U+0076  v
U+0077  w
U+0078  x
U+0079  y
U+007A  z
U+007B  {
U+007C  |
U+007D  }
U+007E  ~
U+00A0   
U+00A1  ¡
U+00A2  ¢
U+00A3  £
U+00A4  ¤
U+00A5  ¥
U+00A6  ¦
U+00A7  §
U+00A8  ¨
U+00A9  ©
U+00AA  ª
U+00AB  «
U+00AC  ¬
U+00AD  ­
U+00AE  ®
U+00AF  ¯
U+00B0  °
U+00B1  ±
U+00B2  ²
U+00B3  ³
U+00B4  ´
U+00B5  µ
U+00B6  ¶
U+00B7  ·
U+00B8  ¸
U+00B9  ¹
U+00BA  º
U+00BB  »
U+00BC  ¼
U+00BD  ½
U+00BE  ¾
U+00BF  ¿
U+00C0  À
U+00C1  Á
U+00C2  Â
U+00C3  Ã
U+00C4  Ä
U+00C5  Å
U+00C6  Æ
U+00C7  Ç
U+00C8  È
U+00C9  É
U+00CA  Ê
U+00CB  Ë
U+00CC  Ì
U+00CD  Í
U+00CE  Î
U+00CF  Ï
U+00D0  Ð
U+00D1  Ñ
U+00D2  Ò
U+00D3  Ó
U+00D4  Ô
U+00D5  Õ
U+00D6  Ö
U+00D7  ×
U+00D8  Ø
U+00D9  Ù
U+00DA  Ú
U+00DB  Û
U+00DC  Ü
U+00DD  Ý
U+00DE  Þ
U+00DF  ß
U+00E0  à
U+00E1  á
U+00E2  â
U+00E3  ã
U+00E4  ä
U+00E5  å
U+00E6  æ
U+00E7  ç
U+00E8  è
U+00E9  é
U+00EA  ê
U+00EB  ë
U+00EC  ì
U+00ED  í
U+00EE  î
U+00EF  ï
U+00F0  ð
U+00F1  ñ
U+00F2  ò
U+00F3  ó
U+00F4  ô
U+00F5  õ
U+00F6  ö
U+00F7  ÷
U+00F8  ø
U+00F9  ù
U+00FA  ú
U+00FB  û
U+00FC  ü
U+00FD  ý
U+00FE  þ
U+00FF  ÿ
U+0100  Ā
U+0101  ā
U+0102  Ă
U+0103  ă
U+0104  Ą
U+0105  ą
U+0106  Ć
U+0107  ć
U+0108  Ĉ
U+0109  ĉ
U+010A  Ċ
U+010B  ċ
U+010C  Č
U+010D  č
U+010E  Ď
U+010F  ď
U+0110  Đ
U+0111  đ
U+0112  Ē
U+0113  ē
U+0114  Ĕ
U+0115  ĕ
U+0116  Ė
U+0117  ė
U+0118  Ę
U+0119  ę
U+011A  Ě
U+011B  ě
U+011C  Ĝ
U+011D  ĝ
U+011E  Ğ
U+011F  ğ
U+0120  Ġ
U+0121  ġ
U+0122  Ģ
U+0123  ģ
U+0124  Ĥ
U+0125  ĥ
U+0126  Ħ
U+0127  ħ
U+0128  Ĩ
U+0129  ĩ
U+012A  Ī
U+012B  ī
U+012C  Ĭ
